Algoritma,Hesaplama_Suresi_ms,Ziyaret_Edilen_Dugum,Yol_Uzunlugu_m
A*,26.0586,2097,9.6468
A*,24.6593,2066,9.5054
A*,24.1254,2066,9.5054
A*,26.3505,2046,9.3640
A*,25.1977,2001,9.2225
A*,22.2934,1969,9.0811
A*,21.9225,1969,9.0811
A*,21.7047,1900,8.9397
A*,21.8419,1842,8.7983
A*,20.6426,1784,8.6569
A*,21.1131,1784,8.6569
A*,20.4636,1722,8.5154
A*,19.4260,1674,8.3740
A*,18.7768,1604,8.2326
A*,18.9188,1590,8.2326
A*,18.1883,1505,8.0912
A*,16.5649,1406,7.9497
A*,16.5744,1382,7.9083
A*,15.2327,1310,7.8083
A*,14.1643,1233,7.6669
A*,20.9559,1759,7.9497
A*,21.5197,1876,8.0497
A*,44.5738,3728,9.8527
A*,44.9856,3802,9.9355
A*,46.1583,3735,9.8669
A*,47.5628,3885,9.9841
A*,49.9584,3857,9.9355
A*,42.6074,3542,9.8184
A*,43.4998,3526,9.7770
A*,40.9671,3447,9.6941
A*,43.5835,3323,9.5527
A*,38.7683,3242,9.4527
A*,38.8984,3153,9.4284
A*,37.0687,3086,9.3284
A*,34.3534,2974,9.1870
A*,33.8277,2925,9.2042
A*,33.2254,2789,9.0627
A*,32.4321,2663,9.0385
A*,33.0373,2627,8.9971
A*,30.6391,2563,8.9971
A*,31.4440,2516,9.0385
A*,38.9824,2833,10.0598
A*,34.5880,2799,9.9598
A*,33.7056,2857,9.9184
A*,33.5122,2819,9.8184
A*,33.4522,2783,9.6770
A*,34.4957,2732,9.5770
A*,35.0762,2672,9.4770
A*,33.3931,2642,9.3355
A*,32.2074,2529,9.0770
A*,35.6317,2530,8.9770
A*,28.9538,2495,8.8355
A*,28.7166,2425,8.6941
A*,27.2708,2355,8.5527
A*,27.1828,2355,8.5527
A*,28.5184,2288,8.4113
A*,26.2059,2158,8.2698
A*,23.4461,2087,8.1284
A*,23.7597,2074,8.0284
A*,23.2350,2024,7.9870
A*,22.1803,1987,7.8870
A*,21.8462,1941,7.7456
A*,21.6420,1877,7.6042
A*,21.0059,1816,7.4627
A*,21.2827,1816,7.4627
A*,20.0471,1749,7.3213
A*,23.6598,1673,7.1799
A*,19.9073,1651,7.0799
A*,18.5398,1574,6.9385
A*,19.6476,1487,6.7971
A*,17.1312,1449,6.6971
A*,16.3871,1372,6.6728
A*,15.8470,1310,6.6314
A*,16.5340,1257,6.5314
A*,13.8588,1115,6.4314
A*,12.7826,1011,6.3314
A*,12.7967,856,6.1899
A*,10.7568,739,6.0485
A*,9.9407,670,6.0071
A*,8.2958,579,5.9071
A*,4.6502,367,5.6657
A*,4.5173,338,5.6657
A*,4.9360,254,5.4657
A*,3.8888,269,5.3657
A*,3.6295,253,5.2657
A*,3.5580,221,5.1657
A*,2.8906,169,4.8485
A*,2.8436,165,4.7485
A*,2.8208,156,4.6485
A*,2.3957,152,4.5485
A*,2.4302,168,4.4071
A*,2.4062,164,4.3071
A*,1.9615,159,4.2071
A*,2.2778,156,4.0657
A*,2.2883,148,3.8657
A*,3.1520,145,3.7657
A*,2.1669,142,3.6657
A*,2.1145,140,3.5657
A*,2.0391,132,3.3657
A*,1.9118,127,3.2657
A*,1.8960,122,3.1657
A*,1.9286,129,3.0243
A*,2.4345,125,2.9243
A*,1.8513,121,2.8243
A*,1.7976,117,2.7243
A*,2.6183,125,2.6657
A*,1.7340,114,2.4657
A*,1.6647,108,2.3657
A*,1.5929,103,2.2657
A*,1.8480,98,2.1657
A*,1.1650,89,2.0243
A*,1.1073,85,1.9243
A*,1.0622,81,1.8243
A*,0.9763,76,1.7243
A*,1.0270,72,1.6243
A*,1.1099,67,1.5243
A*,0.8634,53,1.3657
A*,0.7610,47,1.3243
A*,0.8363,41,1.2243
A*,0.4288,29,1.0828
A*,0.3755,26,0.9828
A*,0.3236,23,0.8828
A*,0.3019,21,0.7828
A*,0.2581,18,0.6828
A*,0.2716,15,0.5828
A*,0.2293,12,0.4828
RRT*,14.7887,95,11.1569
RRT*,16.7726,93,12.3835
RRT*,10.5385,66,12.4023
RRT*,7.9469,58,11.8672
RRT*,9.9036,68,11.8282
RRT*,11.4439,79,11.9237
RRT*,12.2611,70,11.7398
RRT*,18.2753,93,11.7858
RRT*,10.7297,73,12.8867
RRT*,25.3128,78,15.5498
RRT*,19.1758,95,12.6359
RRT*,13.9773,75,11.5016
RRT*,13.5242,100,15.3192
RRT*,18.9840,103,13.8417
RRT*,11.1507,64,11.6455
RRT*,6.1449,45,10.1161
RRT*,11.4146,69,9.8471
RRT*,45.2746,121,8.8293
RRT*,7.1004,50,8.9417
RRT*,27.1987,100,10.3561
RRT*,18.9239,80,8.9249
RRT*,7.5215,57,8.1924
RRT*,6.7915,49,8.1296
RRT*,29.7673,115,8.3241
RRT*,17.2042,86,8.9895
RRT*,29.5526,165,11.5011
RRT*,88.0085,344,13.4487
RRT*,27.9848,147,11.7465
RRT*,19.1170,110,10.1171
RRT*,69.8874,278,16.9381
RRT*,107.1095,355,18.3353
RRT*,57.0168,245,15.2631
RRT*,186.2946,452,11.9344
RRT*,207.1359,539,18.8792
RRT*,152.9263,485,27.0132
RRT*,374.6929,815,17.4236
RRT*,212.2667,526,20.6916
RRT*,579.8482,1172,17.1175
RRT*,86.5069,264,10.1523
RRT*,85.9281,301,9.5047
RRT*,83.2621,273,10.1430
RRT*,106.5375,336,7.9166
RRT*,75.4684,262,8.7410
RRT*,52.5937,171,11.6150
RRT*,111.5276,316,7.6868
RRT*,139.9337,317,10.4305
RRT*,232.3103,605,12.5511
RRT*,150.9344,282,9.9773
RRT*,57.9687,223,8.4025
RRT*,118.5439,235,6.5260
RRT*,79.0263,199,7.1586
RRT*,152.9575,267,0.0000
RRT*,6.9323,44,4.8264
RRT*,4.4306,34,4.6823
RRT*,2.7699,20,5.2529
RRT*,3.8014,30,4.3356
RRT*,8.4531,62,4.1176
RRT*,3.8862,27,3.9810
RRT*,3.0547,24,3.6320
RRT*,4.2072,18,3.3520
RRT*,2.3961,16,3.0847
RRT*,1.1715,11,2.7308
RRT*,1.8899,12,2.5342
RRT*,1.5067,9,2.2308
RRT*,1.0734,8,2.0544
RRT*,0.7393,7,1.9791
RRT*,1.5318,10,1.5764
RRT*,0.5424,6,1.4729
RRT*,0.9277,6,1.0071
RRT*,0.1196,4,0.8595
RRT*,0.3135,4,0.9243
RRT*,13.1081,91,11.9677
RRT*,12.2795,80,12.2810
RRT*,15.0317,96,13.1123
RRT*,16.7220,100,13.3558
RRT*,8.9847,61,12.2970
RRT*,9.4311,59,11.0736
RRT*,20.2269,119,11.0088
RRT*,10.4275,76,11.0380
RRT*,13.4450,88,13.3533
RRT*,5.7552,47,10.5655
RRT*,17.3352,102,15.2596
RRT*,11.0921,63,10.0732
RRT*,52.6977,126,9.8725
RRT*,5.8945,48,9.2887
RRT*,27.5136,112,9.0193
RRT*,8.8852,59,8.9253
RRT*,8.9835,64,8.8605
RRT*,14.6515,79,8.2700
RRT*,6.7173,45,8.0143
RRT*,20.9576,104,11.1879
RRT*,13.4874,70,8.4994
RRT*,45.5936,135,8.8768
RRT*,107.9816,364,16.7903
RRT*,158.2941,515,15.2775
RRT*,143.4513,474,18.8943
RRT*,299.3493,730,10.9153
RRT*,117.6584,393,13.2628
RRT*,22.6732,111,11.0615
RRT*,27.9481,136,12.4492
RRT*,104.9482,364,14.9608
RRT*,183.7259,507,18.8967
RRT*,165.3502,373,15.3272
RRT*,71.3487,234,13.6408
RRT*,203.2055,570,24.7971
